section,date,keyword,group,interest_score,region,query_type,related_term,related_value,suggestion_type
interest_over_time,2025-04-20,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-20,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-04-20,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-04-27,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-04-27,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-04-27,ginseng instant tea,American Ginseng,0.0,,,,,
interest_over_time,2025-04-27,ginseng candy,American Ginseng,0.0,,,,,
interest_over_time,2025-04-27,ginseng herbal tea,American Ginseng,0.0,,,,,
interest_over_time,2025-04-27,Prince of Peace ginger chews,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews original,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews mango,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews lemon,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews blood orange,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews lychee,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews pineapple coconut,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger honey crystals,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews plus,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginger chews bulk,American Ginseng,,,,,,
interest_over_time,2025-04-27,Ferrero Rocher,American Ginseng,,,,,,
interest_over_time,2025-04-27,Gavottes crepes dentelle,American Ginseng,,,,,,
interest_over_time,2025-04-27,Kjeldsens butter cookies,American Ginseng,,,,,,
interest_over_time,2025-04-27,Loacker wafer hazelnut,American Ginseng,,,,,,
interest_over_time,2025-04-27,Mexican egg rolls,American Ginseng,,,,,,
interest_over_time,2025-04-27,Loacker dark hazelnut,American Ginseng,,,,,,
interest_over_time,2025-04-27,Loacker cappuccino,American Ginseng,,,,,,
interest_over_time,2025-04-27,Loacker white coconut,American Ginseng,,,,,,
interest_over_time,2025-04-27,Loacker orange chocolate,American Ginseng,,,,,,
interest_over_time,2025-04-27,Loacker Gran Pasticceria,American Ginseng,,,,,,
interest_over_time,2025-04-27,Mazola corn oil,American Ginseng,,,,,,
interest_over_time,2025-04-27,Totole chicken bouillon,American Ginseng,,,,,,
interest_over_time,2025-04-27,Kwan Loong oil,American Ginseng,,,,,,
interest_over_time,2025-04-27,Tiger Balm,American Ginseng,,,,,,
interest_over_time,2025-04-27,Tiger Balm patch,American Ginseng,,,,,,
interest_over_time,2025-04-27,Prince of Peace green tea,American Ginseng,,,,,,
interest_over_time,2025-04-27,Prince of Peace jasmine tea,American Ginseng,,,,,,
interest_over_time,2025-04-27,Prince of Peace oolong tea,American Ginseng,,,,,,
interest_over_time,2025-04-27,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-04-27,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-27,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-27,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-27,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-27,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-04-27,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-05-04,American ginseng root,American Ginseng,63.0,,,,,
interest_over_time,2025-05-04,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-05-04,ginseng instant tea,American Ginseng,0.0,,,,,
interest_over_time,2025-05-04,ginseng candy,American Ginseng,0.0,,,,,
interest_over_time,2025-05-04,ginseng herbal tea,American Ginseng,0.0,,,,,
interest_over_time,2025-05-04,Prince of Peace ginger chews,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews original,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews mango,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews lemon,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews blood orange,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews lychee,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews pineapple coconut,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger honey crystals,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews plus,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginger chews bulk,American Ginseng,,,,,,
interest_over_time,2025-05-04,Ferrero Rocher,American Ginseng,,,,,,
interest_over_time,2025-05-04,Gavottes crepes dentelle,American Ginseng,,,,,,
